"odata.metadata","value__Longitude","value__Latitude"
"http://datamall2.mytransport.sg/ltaodataservice/$metadata#TaxiAvailability","103.74512","1.38442"
"","103.79501","1.43704"
"","103.96791","1.33218"
"","103.89301","1.29515"
"","103.85879","1.33531"
"","103.79317","1.30656"
"","103.8137","1.32703"
"","103.89707","1.37934"
"","103.88915","1.37539"
"","103.85901","1.3083"
"","103.8971","1.37539"
"","103.86194","1.33963"
"","103.72388","1.3509"
"","103.85862","1.28116"
"","103.8406","1.28758"
"","103.98643","1.35412"
"","103.95676","1.36285"
"","103.81756","1.26458"
"","103.85628","1.42589"
"","103.85869","1.31581"
"","103.94964","1.37307"
"","103.88384","1.31101"
"","103.77499","1.44373"
"","103.84757","1.31055"
"","103.71462","1.37353"
"","103.81186","1.4024"
"","103.88763","1.38091"
"","103.79179","1.29596"
"","103.80751","1.29399"
"","103.77415","1.32004"
"","103.91266","1.31922"
"","103.87059","1.35326"
"","103.91019","1.30556"
"","103.85045","1.30544"
"","103.77793","1.33237"
"","103.78455","1.4308"
"","103.87697","1.31183"
"","103.82116","1.27723"
"","103.76122","1.39021"
"","103.90944","1.40117"
"","103.85875","1.28117"
"","103.86002","1.30363"
"","103.83566","1.35291"
"","103.9297","1.32907"
"","103.91379","1.3216"
"","103.82539","1.25461"
"","103.84988","1.3645"
"","103.94141","1.33701"
"","103.78934","1.34796"
"","103.8904","1.36824"
"","103.87744","1.36943"
"","103.90947","1.31949"
"","103.74659","1.38563"
"","103.897","1.31602"
"","103.79649","1.31224"
"","103.86553","1.30365"
"","103.89316","1.37688"
"","103.90942","1.33184"
"","103.89286","1.3714"
"","103.8349","1.2864"
"","103.92909","1.32391"
"","103.91492","1.3198"
"","103.77401","1.39303"
"","103.85823","1.30818"
"","103.86301","1.32144"
"","103.85058","1.28241"
"","103.75418","1.3804"
"","103.96785","1.33264"
"","103.7389","1.33779"
"","103.86019","1.32548"
"","103.85318","1.28123"
"","103.84411","1.3107"
"","103.85257","1.36805"
"","103.84001","1.43494"
"","103.82689","1.3248"
"","103.89109","1.32296"
"","104.00118","1.38002"
"","103.78405","1.2944"
"","103.84466","1.28601"
"","103.8871","1.37358"
"","103.97155","1.33829"
"","103.91942","1.33283"
"","103.76541","1.31227"
"","103.84465","1.31046"
"","103.89911","1.34482"
"","103.96785","1.33224"
"","103.84691","1.27465"
"","103.89314","1.39154"
"","103.74451","1.34247"
"","103.84823","1.36884"
"","103.89756","1.38547"
"","103.89709","1.37546"
"","103.76132","1.30801"
"","103.83409","1.35362"
"","103.87813","1.37547"
"","103.86185","1.31979"
"","103.84823","1.38682"
"","103.74579","1.33375"
"","103.83928","1.34817"
"","103.84109","1.3273"
"","103.84421","1.28497"
"","103.94012","1.35168"
"","103.96283","1.36725"
"","103.84978","1.30027"
"","103.7916","1.29616"
"","103.94534","1.34558"
"","103.74728","1.40695"
"","103.83198","1.35989"
"","103.93341","1.35049"
"","103.93766","1.32892"
"","103.94275","1.35367"
"","103.83048","1.27606"
"","103.88963","1.33042"
"","103.74521","1.39208"
"","103.77874","1.37031"
"","103.75551","1.34202"
"","103.88953","1.3164"
"","103.8425","1.3264"
"","103.83917","1.43732"
"","103.93263","1.31887"
"","103.87635","1.31312"
"","103.82726","1.2845"
"","103.83341","1.39466"
"","103.87858","1.31417"
"","103.85938","1.29498"
"","103.87718","1.38362"
"","103.86488","1.30631"
"","103.75733","1.40412"
"","103.86833","1.37422"
